datetime,Shortwave_Wm2,sum_Longwave_Radiation_Downwelling_wattPerMeterSquared,AirTemp_C,median_Ten_Meter_Elevation_Wind_Speed_meterPerSecond,sum_Precipitation_millimeterPerDay,Water_Secchi_m,TP_load_g_per_d
2016-06-30 18:00:00,66.38781019170588,15.725999555337808,23.5543703703704,3.0571412520436843,27.8943288888889,1.8512313620371923,0.0
2016-06-30 19:00:00,21.61255017773398,3.0513889449164253,21.9255555555556,2.652000951885413,31.5556977777778,1.891911464723102,0.0
2016-06-30 20:00:00,0.0,-16.67011271038234,20.2983353587963,2.44237841809096,0.0,1.933361685722079,0.0
2016-06-30 21:00:00,0.0,-35.368077428441666,18.6694814814815,2.4823229687327637,0.0,1.9749728138203042,0.0
2016-06-30 22:00:00,0.0,-45.705459412680455,18.0082222222222,2.988782444970281,0.0,2.015627945869,0.0
2016-06-30 23:00:00,0.0,-55.37235767998345,17.3428888888889,3.6510454901715144,0.0,2.055384432490378,0.0
2016-07-01 00:00:00,0.0,-64.45326223182741,16.6831851851852,4.399913078846209,0.0,2.09514458208297,0.0
2016-07-01 01:00:00,0.0,-75.56922360634388,15.6721481481482,4.238907905468732,0.0,2.1324777771240617,0.0
2016-07-01 02:00:00,0.0,-86.11670637269958,14.6563703703704,4.0869611009285025,0.0,2.1686079658050583,0.0
2016-07-01 03:00:00,0.0,-96.08597938581568,13.6453333333334,3.9442896637712646,0.0,2.2034836146249535,0.0
2016-07-01 04:00:00,0.0,-100.24795146312641,13.4202222222222,3.9042887465398546,0.0,2.2349960495545256,0.0
2016-07-01 05:00:00,41.50517088644642,-104.244415146915,13.1866666666667,3.871892084908045,0.0,2.2660597930349846,0.0
2016-07-01 06:00:00,160.45692798991521,-108.12492742694661,12.954,3.840421450801863,0.0,2.291579956744186,0.0
2016-07-01 07:00:00,266.28284185605037,-102.73413422403183,14.5072592592593,3.8205909548313794,0.0,2.307276695677692,0.0
2016-07-01 08:00:00,388.24872022731944,-97.14197159356411,16.0626666666667,3.7940303480053807,0.0,2.3203889628393815,0.0
2016-07-01 09:00:00,491.08332242665733,-86.77670641829701,17.6168148148148,3.7720383790024616,0.0,2.324300505378281,0.0
2016-07-01 10:00:00,594.3890697274876,-84.7487743387901,18.546962962963,3.683093042578527,0.0,2.3251607895934723,0.0
2016-07-01 11:00:00,658.2235777125294,-81.23427994070659,19.4739259259259,3.605896577437916,0.0,2.3231866268938473,0.0
2016-07-01 12:00:00,598.0944937945799,-72.96643195752245,20.404962962963,3.54350259264531,0.0,2.3192964718692246,0.0
2016-07-01 13:00:00,569.6675465777055,-63.12459602490878,20.5215946180556,3.567610683102997,0.0,2.3154040428914913,0.0
2016-07-01 14:00:00,529.533542513619,-61.44124722794709,20.6385185185185,3.612576510331768,0.0,2.3110906588201,0.0
2016-07-01 15:00:00,422.3352924444801,-53.607500829499884,20.7551111111111,3.6817523934721996,0.0,2.306625074690857,0.0
2016-07-01 16:00:00,332.7233451902817,-51.937790845208724,20.456,3.226843098576914,0.0,2.303402341392654,0.0
2016-07-01 17:00:00,231.4654651703546,-48.711736910811,20.1556296296296,2.8143535968921025,0.0,2.3017826714759972,0.0
2016-07-01 18:00:00,119.44536114554516,-39.02039268224854,19.8508888888889,2.4661836061092783,0.0,2.3029929506187585,0.0
2016-07-01 19:00:00,42.90117837062224,-36.275292512403894,19.0473723958334,1.7924275618931749,0.0,2.308550410828713,0.0
2016-07-01 20:00:00,0.0,-48.84970554391498,18.2457037037037,1.2250996432472376,0.0,2.3204371477144212,0.0
2016-07-01 21:00:00,0.0,-60.63959048115669,17.4421481481482,0.9751004158755079,0.0,2.33748975063,0.0
2016-07-01 22:00:00,0.0,-69.66267420753036,16.9044444444445,1.0393929484216777,0.0,2.3542387688452204,0.0
2016-07-01 23:00:00,0.0,-78.14642928825765,16.3671501736111,1.1051618339677571,0.0,2.370577803536646,0.0
2016-07-02 00:00:00,0.0,-86.18502034720336,15.8294074074074,1.1743305512483027,0.0,2.386487214579253,0.0
2016-07-02 01:00:00,0.0,-94.67172776704234,15.0427798032408,1.1711796714577458,0.0,2.4011099443790087,0.0
2016-07-02 02:00:00,0.0,-102.45773435789249,14.2485185185185,1.4008629210585255,0.0,2.414333963514009,0.0
2016-07-02 03:00:00,0.0,-109.54297697442115,13.4542962962963,1.766103543989217,0.0,2.4287192856052937,0.0
2016-07-02 04:00:00,0.0,-108.07921236039607,13.9191111111111,1.7620029856804134,0.0,2.442575441812339,0.0
2016-07-02 05:00:00,43.35828187395705,-106.4984192281824,14.3835555555556,1.7580510872854596,0.0,2.456072256642519,0.0
2016-07-02 06:00:00,154.9396843195302,-104.93342364337713,14.8436296296297,1.7662094326741646,0.0,2.4631441123100903,0.0
2016-07-02 07:00:00,257.34849777066313,-96.16687480025996,16.7675205439815,2.1021041761353425,0.0,2.4600561477524567,0.0
2016-07-02 08:00:00,374.9840430628707,-82.61662220623697,18.6890370370371,2.439310186787285,0.0,2.4514517765573505,0.0
2016-07-02 09:00:00,474.33544270452865,-69.1021223880922,20.6053333333334,2.7785981805545745,0.0,2.4392327973178136,0.0
2016-07-02 10:00:00,573.6520928585194,-67.48337263432222,21.2368888888889,2.8444331325743883,0.0,2.4237351036730015,0.0
2016-07-02 11:00:00,634.741537488166,-64.33659199450909,21.8716296296297,2.94170364251318,0.0,2.4066308406437957,0.0
2016-07-02 12:00:00,532.2951495796439,-50.51261778651036,22.5031851851852,3.067021192344912,0.0,2.3887587537611656,0.0
