Date,depth,WaterTemp_C,Water_DO_mg_per_L,Water_DOC_mg_per_L,Water_POC_mg_per_L
2016-06-30,0.25,24.593140612132895,8.233792327175047,3.815281269150549,0.9825030894929667
2016-06-30,0.75,24.552057788685786,8.175577433326042,3.8121986176438623,0.957093903087205
2016-06-30,1.25,24.510886070040375,8.122182681833708,3.80991515000072,0.935411886514185
2016-06-30,1.75,24.472430633970067,8.082203884851703,3.808306651574646,0.919886881186247
2016-06-30,2.25,24.443634699519823,8.055237273978278,3.807381163727698,0.9136811150589731
2016-06-30,2.75,24.42897184900343,8.003839392206313,3.80395743806501,0.923950828090104
2016-06-30,3.25,24.41934610775274,7.988197777181431,3.8029230623355743,0.9281817137094341
2016-06-30,3.75,24.42285210545508,7.990673053072151,3.8034978033444244,0.9297067673964484
2016-06-30,4.25,24.44361406685726,8.005246825536904,3.805195755412214,0.9359987592530423
2016-06-30,4.75,24.475229817954304,8.016634846605385,3.8069154434133012,0.9478302680205335
2016-06-30,5.25,24.531459905327548,8.055746529654046,3.810439736982812,0.9546274033120105
2016-06-30,5.75,24.600007145939127,8.102989317729909,3.814896089404099,0.9715797070720086
2016-06-30,6.25,24.66584072285518,8.144496491215792,3.819295540368478,0.9872867935841015
2016-06-30,6.75,24.753218379088924,8.176271049433037,3.823226640032909,1.0100856740446813
2016-06-30,7.25,24.836630309618418,8.211056729712508,3.8271627818253875,1.0236374136878394
2016-06-30,7.75,24.909128591001917,8.239783968495619,3.8307175606723156,1.0397941740787435
2016-06-30,8.25,24.970503234377446,8.25719937798682,3.8335951534872783,1.0535075367066733
2016-06-30,8.75,25.024692677466078,8.279496163646124,3.836550921754568,1.0603524957301937
2016-06-30,9.25,25.066066143915602,8.283120330877699,3.838270752103142,1.0640826444624316
2016-06-30,9.75,25.085993819442237,8.276887935625576,3.8392668991710974,1.0670850098024418
2016-06-30,10.25,25.08676269539893,8.255659633210284,3.8390989225297427,1.0613710530416005
2016-06-30,10.75,25.068546859882307,8.226815245322893,3.838184094401337,1.0542247691979467
2016-06-30,11.25,25.031363000252345,8.18003490579194,3.8358454222420484,1.0465620806255185
2016-06-30,11.75,24.986104656625752,8.130556418005995,3.833215286112012,1.0325261852594114
2016-06-30,12.25,24.93878251282449,8.076553597048564,3.8298202099538017,1.010849117229566
2016-06-30,12.75,24.89248804544037,8.029197154268767,3.826661739763919,0.9930972360610032
2016-06-30,13.25,24.849064476194133,7.990391152465005,3.8238571347573203,0.9787158973341114
2016-06-30,13.75,24.801698633036395,7.960024031843048,3.8215544711194736,0.9684693779809987
2016-06-30,14.25,24.763870398489605,7.940997780211358,3.819745233623001,0.9645201420056505
2016-06-30,14.75,24.733568500010225,7.932047896892578,3.8185594576252266,0.9636222448791538
2016-06-30,15.25,24.721049951074175,7.909919633014624,3.817009022222367,0.9824093613249251
2016-06-30,15.75,24.71987310883451,7.918191000632181,3.8171518221711658,0.9853449630494607
2016-06-30,16.25,24.734821199936544,7.935338433488891,3.81779973298538,0.9875449587354836
2016-06-30,16.75,24.758399952144853,7.947103325414921,3.8183121751025215,0.9903480061625554
2016-06-30,17.25,24.779789349063233,7.916172359838601,3.8158689532385885,0.9933582529135291
2016-06-30,17.75,24.800179747401188,7.927328902090135,3.816064330335081,0.9961905759266454
2016-06-30,18.25,24.828121213605503,7.942689784376717,3.8164829878181465,1.0027303353040715
2016-06-30,18.75,24.86394260085632,7.959583518266125,3.817343389319197,1.0116556918399462
2016-06-30,19.25,24.90357413859083,7.96637725164378,3.817977033484731,1.0240101945634763
2016-06-30,19.75,24.944262842289792,7.958108509918772,3.8179160706401123,1.0295631744967968
2016-06-30,20.25,24.982509577220867,7.949402859578448,3.8178792920694486,1.0334367273857004
2016-06-30,20.75,25.01553439227577,7.952097821489399,3.8185221728667815,1.0321407818592636
2016-06-30,21.25,25.03673428075928,7.949660002195409,3.8187205905307633,1.0319272559611457
2016-06-30,21.75,25.05596761746551,7.947830897672902,3.818919334307044,1.032502852387582
2016-06-30,22.25,25.06154010862889,7.94256945958445,3.8186069164701064,1.0205768841404457
2016-06-30,22.75,25.06370384143219,7.92626919205495,3.8177385596739897,1.0064197754861242
2016-06-30,23.25,25.042260843776972,7.90190366235145,3.8157129916014836,0.9967625307149061
2016-06-30,23.75,25.014113309585166,7.869599981837623,3.8131820020752536,0.9877751298976255
2016-06-30,24.25,24.976706898217788,7.832361308753694,3.8099758429449717,0.9774510679036924
2016-06-30,24.75,24.934460415354593,7.802846290106477,3.8073858095403907,0.9662797757836707
2016-07-01,0.25,27.18578834199265,7.026973181131613,3.613112299313141,1.0684620979822437
2016-07-01,0.75,27.18434275101791,7.026258131729151,3.6129000945498704,1.0672476305801346
2016-07-01,1.25,27.18275278661952,7.026661666606138,3.612303997682409,1.0668417548549105
2016-07-01,1.75,27.18073399125237,7.005491384986649,3.6112070156439846,1.0663094552740289
2016-07-01,2.25,27.178126193899857,7.0096848779332355,3.6108523137953377,1.0640724901248746
2016-07-01,2.75,27.177608217677328,7.014314097690032,3.6103855865553496,1.0640125133453766
2016-07-01,3.25,27.176423197041316,7.020154704077108,3.610177920845487,1.064838797642312
2016-07-01,3.75,27.175629489888674,7.026445194962761,3.609791932147404,1.0625458954391716
2016-07-01,4.25,27.175224186420824,7.037455718051632,3.6098589858489087,1.060508074167053
2016-07-01,4.75,27.170969304341828,7.047590398173788,3.609606398621096,1.0603207560771315
2016-07-01,5.25,27.173099474324957,7.054351637416861,3.6094580588714424,1.0648660474453966
