Date,sum_Longwave_Radiation_Downwelling_wattPerMeterSquared,sum_Precipitation_millimeterPerDay,TP_load_g_per_d,Shortwave_Wm2,AirTemp_C,median_Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Water_Secchi_m
2016-06-30,-134.33861873123368,59.4500266666667,0.0,0.0,19.483908420138903,2.820391698427847,1.9541672497711917
2016-07-01,-1771.8617206604742,0.0,0.0,139.95114456773018,17.529481481481497,3.647164451901984,2.3079135532532025
2016-07-02,-1688.8088690378793,0.0,0.0,146.4413415323848,18.24933333333335,2.844557923251277,2.3876229841702092
2016-07-03,-1671.7069871721226,0.0,0.0,137.0872312311077,18.9460936053241,2.5050217989644357,2.337043888055666
2016-07-04,-1058.3381838551072,0.0,0.0,120.34794210801917,19.659148148148148,2.3191579025764293,2.2898885844692938
2016-07-05,-502.18585042775624,19.7732977777778,0.0,139.56478107493828,24.43422222222225,2.585956163832181,2.2576631969042866
2016-07-06,352.9923051503039,407.48828444444416,0.0,95.10550275391716,26.183925925925948,2.191681386204271,2.229732488202008
2016-07-07,-216.1734275582955,88.36913777777777,0.0,88.62960904760322,24.15557508680555,1.733850926358063,2.2437334596195035
2016-07-08,-1068.7448927041282,0.0,0.0,128.3251404465108,22.75192592592595,3.5747015124313117,2.2306061673575175
2016-07-09,-1405.2949375248993,0.0,0.0,138.0780597174526,20.9642592592593,2.673576632047758,2.192321694269965
2016-07-10,-1089.971409061308,2.321351111111107,0.0,133.35996222982908,22.14483434606485,3.151536862648477,2.2008741091201203
2016-07-11,-349.4918844496548,0.0,0.0,131.5516340645129,25.968851851851852,5.30843857149997,2.1873545416009277
2016-07-12,-425.02033156992155,5.548159999999993,0.0,127.542865010692,24.86124175347225,4.643212496830547,2.2227773635325736
2016-07-13,-682.6630115964949,1.8925511111111109,0.0,133.31474393675083,24.91864916087965,4.0752727278262295,2.2481743821989126
2016-07-14,-1100.3344240066974,0.01792,0.0,128.32805615527812,22.3731851851852,4.342912040479013,2.2656919450085553
2016-07-15,-1383.1576648840376,4.21624888888889,0.0,82.41256314243229,17.24683434606485,2.7057104554095943,2.340384038891579
2016-07-16,-1738.0147640653547,0.0,0.0,132.2470099581729,19.1723899016204,1.9464094861589674,2.397602961230948
2016-07-17,-557.393029443891,242.34574222222255,0.0,99.83191570989996,24.1226296296296,4.839018806861901,2.4111019221632493
2016-07-18,-816.0357251608887,0.06272,0.0,129.4741619370499,23.873370370370353,2.391382280806306,2.4397429584460095
2016-07-19,-1012.0587641701625,0.0,0.0,128.34748489936078,23.714222222222247,1.9130716016644391,2.4877910813530217
2016-07-20,-595.8912306412656,0.5092977777777773,0.0,125.715736441041,25.264555555555553,3.418114530305689,2.5221848896724843
2016-07-21,98.13589417140378,1838.7116800000003,0.0,93.04767017226607,28.710389901620402,3.497790063507253,2.552251744535215
2016-07-22,-12.638072960633849,0.0,0.0,116.99254832064312,29.110111111111152,0.6937229393351811,2.599287887682232
2016-07-23,236.91950377445505,1231.0513777777778,0.0,88.14354441540182,27.27003703703705,2.6494648467492112,2.6753067766712295
2016-07-24,-251.4168930572754,0.312177777777778,0.0,121.23900468365062,27.8250740740741,4.367390891659535,2.727242878603672
2016-07-25,-1357.707908820506,1.12867555555556,0.0,122.38212798180183,23.047407407407448,2.881089079458003,2.6977073302297914
2016-07-26,-1254.5449794406788,0.0,0.0,120.17421255690928,24.3956121238426,1.4748077229068364,2.7168308794021856
2016-07-27,-1180.4095966003663,0.0224,0.0,117.31340492924991,24.3538518518519,2.434392792501508,2.758029594927439
2016-07-28,-1239.8580790603567,323.8131911111114,0.0,100.2379661564558,22.8528888888889,1.9966101098777065,2.8001143246472657
2016-07-29,-1363.5516593949244,129.20977777777782,0.0,79.8744672748557,19.882834346064847,2.776085041334895,2.8648744791718115
2016-07-30,-1326.306066601304,0.0,0.0,93.5122469180991,20.7899279513889,2.668096824566132,2.9084069196826725
2016-07-31,-1536.5706020520452,0.0,0.0,103.58879459733464,21.70600000000005,2.1275349842792437,2.9193855922141903
2016-08-01,-1378.8328834814795,0.16256,0.0,102.18285600881072,22.155259259259303,2.7323232167540374,2.918644450030291
2016-08-02,-817.6288848492538,84.2234311111111,0.0,87.51717167808519,24.2894269386574,2.3973297381935526,2.8515572287800928
2016-08-03,-559.6705562174502,0.0477866666666667,0.0,96.74222380063492,25.500888888888902,2.548078742848821,2.8791076696657436
2016-08-04,-413.93335266285726,732.2009599999998,0.0,75.79041308361555,27.03044444444445,3.3419586193798416,2.83671993428942
2016-08-05,-1107.9173548080828,0.0,0.0,95.30076591896656,23.96070370370375,3.2512322186581546,2.7950082449551017
2016-08-06,-1557.4364769310566,0.0,0.0,94.62639980220986,20.5735925925926,2.8881305728103466,2.7815692612939684
2016-08-07,-1202.5950328111323,0.0,0.0,63.999780680083354,19.946629629629648,2.361416309818072,2.8226718564932716
2016-08-08,-1276.7215260597418,0.0,0.0,89.29719529400856,21.24359259259265,2.061357288333392,2.8713097048835046
2016-08-09,-673.7316292283872,0.0,0.0,81.04247672261923,23.65524175347225,2.651557744589789,2.889249328955895
2016-08-10,-379.88429614561727,0.0,0.0,83.27598627025469,25.219814814814853,2.805458125236649,2.882557897614909
2016-08-11,-215.09009268572242,205.00234666666643,0.0,78.16067582033713,26.679037037037048,3.6052714968547646,2.861847265901588
2016-08-12,-129.85230109137427,460.17226666666676,0.0,59.456034341447705,25.371629629629652,1.28725024131001,2.8826691909026287
2016-08-13,-1051.266012322511,30.889564444444442,0.0,61.85974092310996,20.61513064236115,3.032101937813967,2.9639133157750264
